tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_71/line_113,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 0]",53.1,54.1,123.44318181818181,779.2159090909091,451.3295454545455,53.6,655.7727272727273,1.0,0.0,640.1999999999999
svg/g_71/line_112,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 1]",96.7,97.7,123.44318181818181,779.2159090909091,451.3295454545455,97.2,655.7727272727273,1.0,0.0,640.1999999999999
svg/g_71/line_111,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 2]",140.4,141.4,123.44318181818181,779.2159090909091,451.3295454545455,140.9,655.7727272727273,1.0,0.0,640.1999999999999
svg/g_71/line_110,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 3]",184.0,185.0,123.44318181818181,779.2159090909091,451.3295454545455,184.5,655.7727272727273,1.0,0.0,640.1999999999999
svg/g_71/line_109,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 4]",227.9,228.9,123.44318181818181,779.2159090909091,451.3295454545455,228.4,655.7727272727273,1.0,0.0,640.1999999999999
svg/g_71/line_108,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 5]",271.3,272.3,123.44318181818181,779.2159090909091,451.3295454545455,271.8,655.7727272727273,1.0,0.0,640.1999999999999
svg/g_71/line_107,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 6]",53.1,315.8,162.71590909090907,163.73863636363637,163.22727272727272,184.45000000000002,1.022727272727309,262.7,0.0,261.7
svg/g_71/line_106,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 7]",53.3,316.0,203.625,204.64772727272728,204.13636363636363,184.65,1.0227272727272805,262.7,0.0,261.7
svg/g_71/line_105,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 8]",53.1,315.8,244.63636363636363,245.6590909090909,245.14772727272725,184.45000000000002,1.0227272727272805,262.7,0.0,261.7
svg/g_71/line_104,3,0.4,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 9]",53.1,315.8,285.64772727272725,286.67045454545456,286.1590909090909,184.45000000000002,1.022727272727309,262.7,0.0,261.7
