tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,containment_mds,adjacency_mds,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g_7/path_19,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0576419571264932,0.06009654720994926,0.9541315574884479,0.9541315574884479,0.02219518877045231,0.8154109664581164,0.04646225296558814,0.40629138375758245,0.002454590083456063,0.0,0.0
svg/g_7/path_18,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0576419571264932,0.06009654720994926,0.8441352924727356,0.8441352924727356,0.13926066469579929,0.8297974624056694,1.0,0.0891419245687456,0.002454590083456063,0.0,0.0
svg/g_7/path_17,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0576419571264932,0.06009654720994926,0.7341390274570232,0.7341390274570232,0.256266103177286,0.8450180430153271,0.9690251646896074,0.12162863836760349,0.002454590083456063,0.0,0.0
svg/g_7/path_16,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0576419571264932,0.06009654720994926,0.6241427624413107,0.6241427624413107,0.3727883170990758,0.8608028405341017,0.9380503293792143,0.08553228970220551,0.002454590083456063,0.0,0.0
svg/g_7/path_15,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0576419571264932,0.06009654720994926,0.5141464974255985,0.5141464974255985,0.48864604965205644,0.8777307916660724,0.030974835310392416,0.3660265717611881,0.002454590083456063,0.0,0.0
svg/g_7/path_14,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0576419571264932,0.06009654720994926,0.4041502324098861,0.4041502324098861,0.6024989653880994,0.8965402308201036,0.015487417655195181,0.3479783974284892,0.002454590083456063,0.0,0.0
svg/g_7/path_13,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0576419571264932,0.06009654720994926,0.2941539673941739,0.2941539673941739,0.7139822540227837,0.9203842419419912,0.0,0.11079973376798426,0.002454590083456063,0.0,0.0
svg/g_7/path_12,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0576419571264932,0.06009654720994926,0.1841577023784615,0.1841577023784615,0.8262602027133594,0.9470832228667493,0.9845125823448042,0.31910131849617107,0.002454590083456063,0.0,0.0
svg/g_7/path_11,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0576419571264932,0.06009654720994926,0.07416143736274908,0.07416143736274908,0.9376025530631907,0.976254013808451,0.9535377470344103,0.34075912769540967,0.002454590083456063,0.0,0.0
svg/g_6/text_21,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031091474390443456,0.08214694812632957,0.9356482739874966,0.9628295732536015,0.02857870891057423,0.8189037468489838,0.4945243708827596,0.0,0.051055473735886106,0.027181299266104922,0.5359759712800286
