tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,bbox_width_n,bbox_height_n,bbox_fill_area
svg/path_11,0.75,1.0,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,1.0,0.9534625892455924,0.0,0.03151515151515152,0.0,1.0,0.0,1.0,0.03151515151515152,1.0,0.7248938848994768
svg/path_10,0.75,1.0,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,1.0,0.9534625892455924,0.03151515151515152,0.05696969696969697,0.07419354838709678,1.0,0.03279862212294597,0.8083769871006196,0.025454545454545455,0.9258064516129033,0.7014465237033033
svg/path_9,0.75,1.0,0.06583354635423755,0.7479909081572589,1.0,0.44313725490196076,1.0,0.5,0.0,1.0,0.9534625892455924,0.05696969696969697,0.09575757575757576,0.09032258064516127,1.0,0.06691795333906184,0.7749310931158798,0.03878787878787879,0.9096774193548388,0.7340058413357401
svg/path_8,0.75,1.0,0.9810593150584657,0.6363155728281985,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,1.0,0.9534625892455924,0.09575757575757576,0.16606060606060605,0.1645161290322581,1.0,0.12693027768434095,0.5805096491990233,0.0703030303030303,0.8354838709677421,0.7751024593534473
svg/path_7,0.75,1.0,0.10087684049605344,0.1988344250290428,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,1.0,0.9534625892455924,0.16606060606060605,0.3575757575757576,0.18709677419354845,1.0,0.2662702449649412,0.5654212957696828,0.19151515151515153,0.8129032258064517,0.8536859515750813
svg/path_6,0.75,1.0,0.6251037890016394,0.0159038917968527,0.9483870967741936,0.696078431372549,1.0,0.5,0.0,1.0,1.0,0.3575757575757576,0.6375757575757576,0.20322580645161295,1.0,0.49247012208922764,0.2186889557547931,0.28,0.7967741935483872,0.8826874172064031
svg/path_5,0.75,1.0,0.004182117664349783,0.5645339256220427,0.7416666666666666,0.5294117647058824,1.0,0.5,0.0,1.0,0.9534625892455924,0.6375757575757576,0.6690909090909091,0.20967741935483872,1.0,0.663662373835196,0.6666764737646582,0.03151515151515152,0.7903225806451614,0.7059119866720357
svg/path_4,0.75,1.0,0.9993442298227364,0.5255996121599165,0.9484536082474225,0.6196078431372549,1.0,0.5,0.0,1.0,0.9534625892455924,0.6690909090909091,0.7042424242424242,0.22580645161290325,1.0,0.6988959838833559,0.6432381519222472,0.03515151515151515,0.7741935483870969,0.7130578471414801
svg/path_3,0.75,1.0,0.9312329625349902,0.7530575666193282,0.9866666666666668,0.7058823529411765,1.0,0.5,0.0,1.0,0.9534625892455924,0.7042424242424242,0.7406060606060606,0.24838709677419357,1.0,0.7376457204791924,0.6110811505761957,0.03636363636363636,0.7516129032258064,0.7134048064631762
svg/path_2,0.75,1.0,0.0017737723159998997,0.5420788075849455,0.6541353383458648,0.7392156862745098,1.0,0.5,0.0,1.0,0.9534625892455924,0.7406060606060606,0.7587878787878788,0.2838709677419356,1.0,0.771932694169996,0.5674834191647772,0.01818181818181818,0.7161290322580647,0.6535640801850379
svg/path_1,0.75,1.0,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,1.0,0.9534625892455924,0.7587878787878788,0.9006060606060606,0.42580645161290326,1.0,0.8623984384483547,0.13337977367039794,0.14181818181818182,0.5741935483870968,0.8014418144665802
svg/path,0.75,1.0,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,1.0,0.9534625892455924,0.9006060606060606,1.0,0.5258064516129034,1.0,1.0,0.0,0.0993939393939394,0.4741935483870967,0.757353276888303
