tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,fill_luv_l,fill_luv_u,fill_luv_v,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_luv_l,stroke_luv_u,stroke_luv_v,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area,spatial_mds_1,spatial_mds_2
svg/g/path_17,0.75,0.7071067811865476,0.041394349247273365,0.3007994550768796,0.46558704453441296,0.48431372549019613,0.5413439610702098,0.29540895323871924,0.36280722848776525,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.4998846660202723,0.691983357036851,0.0,0.49987889010794007,0.5959340115285616,0.24993944505397003,0.1920986910165785,0.49987889010794007,0.0,0.16489147443318666,0.0,0.4181273532689857
svg/g/path_16,0.75,0.7071067811865476,0.005363833518505834,0.42695848571879436,0.39370078740157477,0.4980392156862745,0.6246095304884927,0.27408756625979935,0.4591649010341995,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.4998846660202725,0.8585412828019259,0.03854500960325232,0.49987889010794007,0.6792129744110994,0.26921194985559627,0.35865661678165345,0.46133388050468777,0.0,0.16501765688201886,0.023582099824917675,0.25087920264026986
svg/g/path_15,0.75,0.7071067811865476,0.009682614765511133,0.5979227335035835,0.3811659192825112,0.5627450980392157,0.7002494132227325,0.2673711052174517,0.5529971517416457,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.4998846660202725,0.9671276018402809,0.15242300947979026,0.49987889010794007,0.7335061339302767,0.3261509497938651,0.4672429358200084,0.34745588062814986,0.0,0.16505556268611868,0.1318835207531045,0.11775942200430345
svg/g/path_14,0.75,0.7071067811865476,0.07622953855358444,0.7653650240809666,0.4171428571428572,0.6568627450980392,0.7651263418910594,0.27622115883941817,0.6223565302467228,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.4998846660202725,1.0,0.32471455122336423,0.5327946007465597,0.7499423330101364,0.42875457598496197,0.5001153339797276,0.20808004952319548,0.0,0.1651989497359828,0.31387134543373296,0.04450014039962484
svg/g/path_13,0.75,0.7071067811865476,0.24180126918051909,0.9281745151257945,0.4198473282442749,0.7431372549019608,0.8181101299404716,0.2977021140458185,0.6670124661442243,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.4998846660202725,0.9976771459691574,0.49987889010794007,0.7459196112867629,0.7487809059947149,0.6228992506973515,0.4977924799488849,0.24604072117882278,0.0,0.16546269287984428,0.647941032255084,0.0
svg/g/path_12,0.75,0.7071067811865476,0.4734531300276253,0.9992947663401548,0.5702479338842975,0.7627450980392156,0.8682598598499535,0.32228241395573454,0.7089434924484557,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.4998846660202725,0.9341457946885521,0.49987889010794007,0.9051299886901779,0.7170152303544123,0.702504439399059,0.43426112866827965,0.40525109858223796,0.0,0.16527168798546155,0.8103709070848374,0.05628367364921791
svg/g/path_11,0.75,0.7071067811865476,0.6103487175107505,0.9876711602542563,0.7142857142857143,0.7803921568627452,0.9115951817300298,0.34655506135182107,0.7387221879142221,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.4998846660202725,0.7919565799176743,0.49987889010794007,0.9892983275676349,0.6459206229689735,0.7445886088377874,0.2920719138974019,0.48941943745969474,0.0,0.16516274327898522,0.9171509485916781,0.1838913331609514
svg/g/path_10,0.75,0.7071067811865476,0.6800888624023551,0.9664418523660003,0.8350515463917526,0.8098039215686275,0.9471156336404318,0.36495552230100925,0.7441606500114216,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.4060461955084561,0.6014045998184288,0.49987889010794007,1.0,0.5037253976634425,0.74993944505397,0.19535840430997298,0.5001211098920598,0.0,0.16487935425868358,0.9675779328878392,0.42374534203988534
svg/g/path_9,0.75,0.7071067811865476,0.7316480175599308,0.9431017896156073,0.88235294117647,0.8333333333333333,0.9650922896358367,0.3796485554991551,0.7329968432265603,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.217353474128492,0.4998846660202725,0.49987889010794007,0.9908340996241451,0.3586190700743822,0.7453564948660425,0.2825311918917805,0.49095520951620486,0.0,0.16508032332630473,1.0,0.6702029489084746
svg/g/path_8,0.75,0.7071067811865476,0.793369417339209,0.9048881141377862,0.9529411764705884,0.8333333333333335,0.9565020448021029,0.39858622571284114,0.7312382016688939,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.07315874429511347,0.4998846660202725,0.49987889010794007,0.9118653027419328,0.286521705157693,0.7058720964249364,0.42672592172515905,0.41198641263399266,0.0,0.16520230289101415,0.9474837292171394,0.8248635306937573
