tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,bbox_width_n,bbox_height_n,bbox_fill_area
svg/path_33,0.75,1.0,0.9813347776081789,0.635339690648697,0.7061611374407584,0.41372549019607846,1.0,0.5,0.0,1.0,1.0,0.7262047470630544,0.7935746823303764,0.6802949061662193,0.7845174262734579,0.5541867659222041,0.8710222990383805,0.06736993526732206,0.1042225201072385,0.5244774140456476
svg/path_32,0.75,1.0,1.0,0.5,0.0,0.5294117647058824,1.0,0.5,0.0,1.0,1.0,0.7755933828818029,0.7767921361783745,0.7774798927613935,0.7784852546916885,0.5624934715407746,0.954520331232273,0.001198753296571566,0.0010053619302949433,0.005542785892334322
svg/path_31,0.75,1.0,0.886005163959956,0.8178049927176215,0.8461538461538461,0.5666666666666665,1.0,0.5,0.0,1.0,1.0,0.39103332534164487,0.5332054663150322,0.7329088471849861,0.9306300268096512,0.9284052053632211,0.7201434025357423,0.14217214097338735,0.1977211796246651,0.6340087580503171
svg/path_30,0.75,1.0,0.886005163959956,0.8178049927176215,0.8461538461538461,0.5666666666666665,1.0,0.5,0.0,1.0,1.0,0.0,0.3725725245744424,0.15918230563002672,0.60053619302949,0.8769681242551765,0.0,0.3725725245744424,0.4413538873994634,0.7891712210428854
svg/path_29,0.75,1.0,0.9527522043927863,0.712168427004285,0.7301587301587301,0.5058823529411764,1.0,0.5,0.0,1.0,1.0,0.07887796691440865,0.4171661472069047,0.544906166219839,0.7831769436997317,1.0,0.33680263835530305,0.33828818029249613,0.23827077747989264,0.7375832034199042
svg/path_28,0.75,1.0,0.7900284547855991,0.9072879760251679,0.8850574712643673,0.8294117647058823,1.0,0.5,0.0,1.0,1.0,0.7015104291536801,0.7262047470630544,0.43632707774798907,0.4849195710455762,0.3747291798619562,0.5766836956456781,0.024694317909374156,0.048592493297587185,0.3609161175658484
svg/path_27,0.75,1.0,0.871572412738697,0.8345653031794291,0.8441558441558441,0.6980392156862745,1.0,0.5,0.0,1.0,1.0,0.3874370654519301,0.5710860704866937,0.5995308310991956,0.8130026809651468,0.8177388167211583,0.6019839611713234,0.1836490050347637,0.21347184986595122,0.6627717788533175
svg/path_26,0.75,1.0,0.9813347776081789,0.635339690648697,0.7061611374407584,0.41372549019607846,1.0,0.5,0.0,1.0,1.0,0.596499640374011,0.6693838408055621,0.4219168900804287,0.595174262734584,0.5054485811800828,0.5401925644561104,0.07288420043155115,0.1732573726541551,0.5805506368767479
svg/path_25,0.75,1.0,0.9813347776081789,0.635339690648697,0.7061611374407584,0.41372549019607846,1.0,0.5,0.0,1.0,1.0,0.7710381203548309,0.7945336849676337,0.664209115281501,0.6960455764075062,0.4830949948186094,0.8530244436414728,0.023495564612802722,0.03183646112600524,0.30354343456920607
svg/path_24,0.75,1.0,0.886005163959956,0.8178049927176215,0.8461538461538461,0.5666666666666665,1.0,0.5,0.0,1.0,1.0,0.6746583553104772,0.8029249580436348,0.48961126005361894,0.5998659517426269,0.4292182837525868,0.6645511673889969,0.12826660273315743,0.11025469168900787,0.5772643394437265
svg/path_23,0.75,1.0,0.7900284547855991,0.9072879760251679,0.8850574712643673,0.8294117647058823,1.0,0.5,0.0,1.0,1.0,0.5207384320306879,0.6152001918005273,0.45576407506702393,0.671581769436997,0.6143250903720625,0.5387029681768248,0.09446175976983948,0.21581769436997303,0.5985218920267933
svg/path_22,0.75,1.0,0.9813347776081789,0.635339690648697,0.7061611374407584,0.41372549019607846,1.0,0.5,0.0,1.0,1.0,0.25437544953248553,0.4809398225845119,0.462131367292225,0.6752680965147448,0.8223635206915678,0.3767440445707144,0.22656437305202634,0.21313672922251972,0.7056441496327804
svg/path_21,0.75,1.0,0.871572412738697,0.8345653031794291,0.8441558441558441,0.6980392156862745,1.0,0.5,0.0,1.0,1.0,0.5029968832414289,0.5569407815871493,0.4621313672922249,0.5784182305630025,0.6109910622494092,0.47511900808579866,0.05394389834572047,0.11628686327077753,0.4879030597574689
svg/path_20,0.75,1.0,1.0,0.5,0.0,0.5294117647058824,1.0,0.5,0.0,1.0,1.0,0.6528410453128746,0.6538000479501318,0.9051608579088463,0.9075067024128679,0.7833606504717456,0.9936307554926218,0.0009590026372573346,0.002345844504021598,0.009659982764215872
svg/path_19,0.75,1.0,0.871572412738697,0.8345653031794291,0.8441558441558441,0.6980392156862745,1.0,0.5,0.0,1.0,1.0,0.739630783984656,0.8530328458403261,0.34148793565683644,0.48056300268096475,0.2671019431527188,0.5731941181956214,0.11340206185567017,0.13907506702412833,0.5834585189795911
svg/path_18,0.75,1.0,0.9813347776081789,0.635339690648697,0.7061611374407584,0.41372549019607846,1.0,0.5,0.0,1.0,1.0,0.7835051546391757,0.9434188444018223,0.2523458445040213,0.4182305630026805,0.14469124623749857,0.537560065103383,0.1599136897626466,0.16588471849865924,0.6124099487056339
