tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g/polygon_46,0.625,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05214465937762826,0.0,0.10325516275813791,0.49681331954985536,0.5474588456456116,0.05214465937762826,0.10325516275813791,0.5668347744123229
svg/g/polygon_45,0.625,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.06072329688814131,0.11286795626576955,0.0,0.10325516275813791,0.38054194346494935,0.3373160028474024,0.05214465937762823,0.10325516275813791,0.583463511493291
svg/g/polygon_44,0.625,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.12010092514718251,0.17224558452481079,0.0,0.10325516275813791,0.2142873621521087,0.5884277293870357,0.05214465937762826,0.10325516275813791,0.596969296207378
svg/g/polygon_43,0.625,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.18149705634987384,0.23364171572750211,0.0,0.10325516275813791,0.6281756751902209,0.34381860524080116,0.05214465937762826,0.10325516275813791,0.609012572381559
svg/g/polygon_42,0.625,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.24373423044575274,0.295878889823381,0.0,0.10325516275813791,0.5801995593234884,0.6192611281104096,0.05214465937762826,0.10325516275813791,0.6196362500776361
svg/g/polygon_41,0.625,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.30277544154751895,0.35492010092514725,0.0,0.10325516275813791,0.23203975792021744,0.3451975535715158,0.05214465937762826,0.10325516275813791,0.6285787014400868
svg/g/polygon_40,0.625,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.35946173254836,0.41160639192598825,0.0,0.10325516275813791,0.3294451979424622,0.6594898867017477,0.05214465937762826,0.10325516275813791,0.6363731166943865
svg/g/polygon_39,0.625,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.41799831791421366,0.4701429772918419,0.0,0.10325516275813791,0.5575552508688586,0.41556782688501887,0.05214465937762826,0.10325516275813791,0.6437066592904668
svg/g/circle_15,0.125,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.003868797308662761,0.048275862068965524,0.16590829541477073,0.25831291564578235,0.5437945742055325,0.6180512597645389,0.04440706476030279,0.09240462023101159,0.523720179583357
svg/g/circle_14,0.125,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.06459209419680405,0.10899915895710678,0.16590829541477073,0.25831291564578235,0.5012440598358866,0.20207369546245432,0.04440706476030274,0.09240462023101159,0.523720179583357
svg/g/circle_13,0.125,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.12396972245584528,0.16837678721614802,0.16590829541477073,0.25831291564578235,0.24711686015156606,0.8120057096533928,0.04440706476030274,0.09240462023101159,0.523720179583357
svg/g/circle_12,0.125,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1853658536585366,0.22977291841883934,0.16590829541477073,0.25831291564578235,0.8165618597870391,0.3852093858542131,0.04440706476030274,0.09240462023101159,0.523720179583357
svg/g/circle_11,0.125,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2476030277544155,0.29201009251471827,0.16590829541477073,0.25831291564578235,0.48808524548971804,0.6233472574229748,0.04440706476030274,0.09240462023101159,0.523720179583357
svg/g/circle_10,0.125,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.30664423885618175,0.35105130361648446,0.16590829541477073,0.25831291564578235,0.2575411228354116,0.2349115173296999,0.04440706476030274,0.09240462023101159,0.523720179583357
svg/g/circle_9,0.125,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.36333052985702274,0.4077375946173255,0.16590829541477073,0.25831291564578235,0.5534067447770291,0.7550876684057171,0.04440706476030274,0.09240462023101159,0.523720179583357
svg/g/ellipse,0.25,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.42186711522287645,0.4662741799831792,0.16590829541477073,0.25831291564578235,0.6273660569376345,0.359865981213163,0.04440706476030274,0.09240462023101159,0.523720179583357
svg/g/circle_8,0.125,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.48074011774600495,0.5251471825063079,0.16590829541477073,0.25831291564578235,0.2616938322683492,0.389006940928719,0.04440706476030274,0.09240462023101159,0.523720179583357
svg/g/circle_7,0.125,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5402859545836839,0.5846930193439865,0.16590829541477073,0.25831291564578235,0.4723661315119488,0.6489044403465841,0.04440706476030274,0.09240462023101159,0.523720179583357
