tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_min_left_n,bbox_max_right_n,bbox_min_top_n,bbox_max_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area
svg/line_1,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,4.779978377389748e-11,4.3668242249361624e-11,4.779978377389748e-11,4.3668242249361624e-11,0.07778551870657231,0.07778551870657231,1.0,0.007518796992481203,0.0,0.1783278672807346
svg/line,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4838709677419355,5.699828136726799e-11,5.663465720500638e-11,5.699828136726799e-11,5.663465720500638e-11,6.679552070196631e-10,6.679552070196631e-10,0.003067484662576687,0.8345864661654135,0.0,0.15142424675392038
svg/rect_11,0.0,1.0,-0.939692620785908,-0.3420201433256699,0.6500000000000002,0.53,1.0,0.0,0.0,0.0,0.7071067811865476,0.467741935483871,2.6098575752040277e-07,1.7494398499572252e-07,2.6098575752040277e-07,1.7494398499572252e-07,3.594107327775979e-07,3.594107327775979e-07,0.03067484662576687,0.37593984962406013,0.6301133956324388,0.13639762249101278
svg/text_17,0.875,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.45161290322580644,2.537713936991187e-07,2.138016559646853e-06,2.537713936991187e-07,2.138016559646853e-06,7.599600278373901e-07,7.599600278373901e-07,0.029447852760736266,0.06015037593984962,0.4750467748414996,0.0
svg/rect_10,0.0,1.0,0.9961946980917455,0.0871557427476582,0.8200000000000002,0.53,1.0,0.0,0.0,0.0,0.7071067811865476,0.43548387096774194,2.9972960271993612e-06,1.9772570539446586e-06,2.9972960271993612e-06,1.9772570539446586e-06,3.420239431943823e-06,3.420239431943823e-06,0.03067484662576687,0.3007518796992481,0.6116264093170174,0.13188422280272366
svg/text_16,0.875,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.41935483870967744,3.871641425069698e-06,2.3685867398207718e-05,3.871641425069698e-06,2.3685867398207718e-05,9.879980696519291e-06,9.879980696519291e-06,0.029447852760736266,0.06015037593984962,0.4750467748414996,0.0
svg/text_15,0.875,1.0,1.0,0.0,0.0,0.21,1.0,0.0,0.0,0.0,0.7071067811865476,0.4032258064516129,4.940926824711557e-10,1.933269397278568e-06,4.940926824711557e-10,1.933269397278568e-06,4.546832078341627e-08,4.546832078341627e-08,0.13251533742331284,0.06015037593984962,0.5995168530455199,0.0
svg/rect_9,0.0,1.0,-0.939692620785908,-0.3420201433256699,0.6500000000000002,0.53,1.0,0.0,0.0,0.0,0.7071067811865476,0.3870967741935484,0.0016635523387016527,0.0006369623559361228,0.0016635523387016527,0.0006369623559361228,0.003234761754353081,0.003234761754353081,0.03067484662576687,0.5639097744360902,0.6637103570455634,0.14502905288823942
svg/text_14,0.875,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.3709677419354839,0.0007748570478591647,0.004170864293581226,0.0007748570478591647,0.004170864293581226,0.0018547599468555032,0.0018547599468555032,0.02944785276073618,0.06015037593984962,0.4750467748414996,0.0
svg/rect_8,0.0,1.0,0.9961946980917455,0.0871557427476582,0.8200000000000002,0.53,1.0,0.0,0.0,0.0,0.7071067811865476,0.3548387096774194,0.011000660087825907,0.0026483989271693514,0.011000660087825907,0.0026483989271693514,0.011313031360107181,0.011313031360107181,0.03067484662576687,0.45112781954887216,0.6452199200341443,0.14021634364661456
svg/text_13,0.875,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.33870967741935487,0.007861074319585756,0.02882154734153492,0.007861074319585756,0.02882154734153492,0.015529714900105502,0.015529714900105502,0.02944785276073618,0.06015037593984962,0.4750467748414996,0.0
svg/text_12,0.875,1.0,1.0,0.0,0.0,0.21,1.0,0.0,0.0,0.0,0.7071067811865476,0.3225806451612903,1.3670121762354725e-05,0.0016878529525858014,1.3670121762354725e-05,0.0016878529525858014,0.00022346628620705983,0.00022346628620705983,0.13251533742331284,0.06015037593984962,0.5995168530455199,0.0
svg/rect_7,0.0,1.0,-0.939692620785908,-0.3420201433256699,0.6500000000000002,0.53,1.0,0.0,0.0,0.0,0.7071067811865476,0.3064516129032258,0.07144695448052603,0.04247668252856387,0.07144695448052603,0.04247668252856387,0.415280949938789,0.415280949938789,0.03067484662576687,0.7518796992481203,0.6875506730056601,0.15142424675392038
svg/text_11,0.875,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.29032258064516125,0.0159414602604669,0.05482373819950193,0.0159414602604669,0.05482373819950193,0.030500872171217483,0.030500872171217483,0.02944785276073618,0.06015037593984962,0.4750467748414996,0.0
svg/rect_6,0.0,1.0,0.9961946980917455,0.0871557427476582,0.8200000000000002,0.53,1.0,0.0,0.0,0.0,0.7071067811865476,0.27419354838709675,0.3899253376924496,0.0649719266547741,0.3899253376924496,0.0649719266547741,0.5840317098147362,0.5840317098147362,0.03067484662576687,0.6015037593984962,0.669058510161127,0.14644643409708522
svg/text_10,0.875,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.25806451612903225,0.1541495567654313,0.3387028854512446,0.1541495567654313,0.3387028854512446,0.23574607655586352,0.23574607655586352,0.02944785276073618,0.06015037593984962,0.4750467748414996,0.0
svg/text_9,0.875,1.0,1.0,0.0,0.0,0.21,1.0,0.0,0.0,0.0,0.7071067811865476,0.24193548387096775,0.006927210999229441,0.026989753095319858,0.006927210999229441,0.026989753095319858,0.02011579402674089,0.02011579402674089,0.13251533742331284,0.06015037593984962,0.5995168530455199,0.0
svg/rect_5,0.0,1.0,-0.939692620785908,-0.3420201433256699,0.6500000000000002,0.53,1.0,0.0,0.0,0.0,0.7071067811865476,0.22580645161290325,0.8329347260247119,0.05188113719788179,0.8329347260247119,0.05188113719788179,0.49371344546932505,0.49371344546932505,0.03067484662576687,0.48872180451127817,0.6518523534003307,0.14192617900812343
svg/text_8,0.875,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.2096774193548387,0.5011589313299535,0.5108741504654917,0.5011589313299535,0.5108741504654917,0.522045776761016,0.522045776761016,0.0294478527607362,0.06015037593984962,0.4750467748414996,0.0
svg/rect_4,0.0,1.0,0.9961946980917455,0.0871557427476582,0.8200000000000002,0.53,1.0,0.0,0.0,0.0,0.7071067811865476,0.1935483870967742,0.6054398865155368,0.02919376850048975,0.6054398865155368,0.02919376850048975,0.2483788692432477,0.2483788692432477,0.03067484662576687,0.41353383458646614,0.6380103060363315,0.13838021043716195
svg/text_7,0.875,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.1774193548387097,0.483921778498057,0.35821138712814315,0.483921778498057,0.35821138712814315,0.42955735821073915,0.42955735821073915,0.0294478527607362,0.06015037593984962,0.4750467748414996,0.0
