tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g/g_159/path_274,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.16931375486964334,0.1823494156427929,0.1437819420783646,0.17512776831345828,0.17583158525621811,0.1594548551959114,0.013035660773149525,0.031345826235093716,0.0
svg/g/g_159/path_273,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.1841474378183997,0.19793227449805212,0.1434412265758092,0.17444633730834755,0.1910398561582259,0.1589437819420784,0.01378483667965238,0.03100511073253833,0.0
svg/g/g_159/path_272,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.19973029667365894,0.21231645190290677,0.14480408858603067,0.17444633730834755,0.20602337428828288,0.1596252129471891,0.01258615522924783,0.029642248722316876,0.0
svg/g/g_159/path_271,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.2147138148037159,0.2274498052142643,0.1434412265758092,0.1737649063032368,0.2210818100089901,0.158603066439523,0.012735990410548388,0.030323679727427593,0.0
svg/g/g_159/path_270,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.22909799220857052,0.24243332334432122,0.1441226575809199,0.17444633730834755,0.2357656577764459,0.15928449744463374,0.013335331135750703,0.030323679727427617,0.0
svg/g/g_159/path_269,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.24393167515732692,0.2569673359304765,0.1434412265758092,0.17444633730834755,0.25044950554390166,0.1589437819420784,0.013035660773149545,0.03100511073253833,0.0
svg/g/g_159/path_268,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.25966436919388675,0.2722505244231346,0.14514480408858604,0.1747870528109029,0.26595744680851063,0.15996592844974447,0.01258615522924783,0.02964224872231685,0.0
svg/g/g_158/path_267,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.6694635900509438,0.7472280491459393,0.28994889267461665,0.46337308347529815,0.7083458195984415,0.3766609880749574,0.07776445909499556,0.17342419080068144,0.0
svg/g/g_157/path_266,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.7753970632304464,0.8336829487563678,0.6081771720613288,0.74412265758092,0.804540005993407,0.6761499148211243,0.058285885525921434,0.13594548551959115,0.0
svg/g/g_157/path_265,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.7722505244231345,0.8339826191189691,0.45689948892674626,0.5921635434412266,0.8031165717710519,0.5245315161839864,0.061732094695834565,0.13526405451448037,0.0
svg/g/g_156/path_264,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.8880731195684746,0.9399160922984717,0.7141396933560477,0.8361158432708689,0.9139946059334731,0.7751277683134583,0.051842972729997154,0.12197614991482107,0.0
svg/g/g_156/path_263,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.8883727899310757,0.9420137848366796,0.5846678023850085,0.7069846678023851,0.9151932873838777,0.6458262350936969,0.05364099490560384,0.1223168654173766,0.0
svg/g/g_155/path_262,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.7136649685346119,0.7607132154629906,0.8844974446337309,0.9880749574105622,0.7371890919988011,0.9362862010221465,0.047048246928378876,0.10357751277683126,0.0
svg/g/g_155/path_261,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.7109679352712016,0.7604135451003895,0.7574105621805792,0.8722316865417379,0.7356907401857955,0.8148211243611585,0.0494456098291878,0.11482112436115868,0.0
svg/g/g_154/path_260,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.31270602337428827,0.3888222954749775,0.434412265758092,0.6020442930153324,0.35076415942463285,0.5182282793867121,0.07611627210068922,0.16763202725724036,0.0
svg/g/g_153/path_259,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5259214863649984,0.5969433623014683,0.6868824531516183,0.8436115843270868,0.5614324243332333,0.7652470187393526,0.07102187593646983,0.1567291311754685,0.0
svg/g/g_152/path_258,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.39901108780341615,0.4563979622415342,0.6183986371379898,0.7546848381601363,0.42770452502247525,0.686541737649063,0.05738687443811809,0.1362862010221465,0.0
svg/g/g_152/path_257,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.4628408750374588,0.520527419838178,0.6258943781942078,0.747870528109029,0.4916841474378184,0.6868824531516183,0.057686544800719206,0.12197614991482107,0.0
svg/g/g_151/path_256,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.4048546598741384,0.44785735690740175,0.34787052810902896,0.4463373083475298,0.42635600839077004,0.3971039182282794,0.04300269703326336,0.09846678023850089,0.0
svg/g/g_150/path_255,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.40635301168714394,0.4336230146838477,0.1679727427597956,0.23066439522998303,0.4199880131854959,0.1993185689948893,0.02727000299670372,0.06269165247018743,0.0
svg/g/g_149/path_254,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.34477075217261016,0.3612526221156728,0.2466780238500852,0.28347529812606476,0.3530116871441415,0.265076660988075,0.01648186994306263,0.03679727427597954,0.0
svg/g/g_148/path_253,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.31105783637998197,0.32738987114174406,0.37921635434412265,0.41703577512776824,0.319223853760863,0.3981260647359455,0.01633203476176203,0.03781942078364554,0.0
svg/g/g_148/path_252,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.3288882229547498,0.34387174108480667,0.38126064735945486,0.4166950596252129,0.33637998201977815,0.3989778534923339,0.014983518130056925,0.03543441226575811,0.0
svg/g/g_147/path_251,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.2725501947857356,0.30461492358405756,0.5901192504258944,0.6592844974446338,0.28858255918489656,0.624701873935264,0.03206472879832191,0.0691652470187394,0.0
svg/g/g_147/path_250,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.2729997003296374,0.30431525322145636,0.5168654173764906,0.583986371379898,0.2886574767755469,0.5504258943781942,0.03131555289181904,0.06712095400340731,0.0
svg/g/g_146/path_249,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.3290380581360503,0.363949655379083,0.7059625212947189,0.7836456558773425,0.34649385675756667,0.7448040885860306,0.03491159724303272,0.07768313458262355,0.0
svg/g/g_146/path_248,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.3287383877734491,0.36409949056038354,0.6218057921635435,0.696763202725724,0.34641893916691635,0.6592844974446337,0.03536110278693439,0.07495741056218058,0.0
svg/g/g_145/path_247,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.4616421935870542,0.47632604135451,0.1666098807495741,0.2,0.4689841174707821,0.18330494037478703,0.014683847767455767,0.03339011925042588,0.0
svg/g/g_145/path_246,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.4784237338927179,0.4920587353910698,0.16592844974446339,0.20034071550255536,0.48524123464189384,0.18313458262350937,0.013635001498351902,0.034412265758091976,0.0
svg/g/g_144/path_245,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.4761762061732094,0.5050943961642193,0.2868824531516184,0.3519591141396933,0.49063530116871434,0.3194207836456559,0.028918189991009896,0.0650766609880749,0.0
svg/g/g_144/path_244,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5064429127959245,0.535061432424333,0.2868824531516184,0.351618398637138,0.5207521726101288,0.3192504258943782,0.02861851962840862,0.06473594548551953,0.0
svg/g/g_143/path_243,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5320647287983218,0.5569373688942163,0.5955706984667802,0.6517887563884157,0.544501048846269,0.623679727427598,0.024872640095894544,0.056218057921635436,0.0
svg/g/g_143/path_242,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5585855558885225,0.5839077015283186,0.5986371379897785,0.651107325383305,0.5712466287084207,0.6248722316865417,0.025322145639796175,0.05247018739352643,0.0
svg/g/g_142/path_241,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.59739286784537,0.6171711117770453,0.6616695059625213,0.7063032367972744,0.6072819898112076,0.6839863713798978,0.019778243931675238,0.04463373083475306,0.0
svg/g/g_141/path_240,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.45879532514234334,0.47662571171711104,0.41192504258943785,0.4534923339011925,0.46771051842972716,0.43270868824531517,0.017830386574767692,0.0415672913117547,0.0
svg/g/g_141/path_239,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.45939466586754557,0.47677554689841173,0.3669505962521295,0.40817717206132875,0.4680851063829787,0.38756388415672915,0.017380881030866144,0.0412265758091993,0.0
svg/g/g_140/path_238,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.4979023074617919,0.5199280791129757,0.5638841567291311,0.6136286201022146,0.5089151932873838,0.5887563884156729,0.02202577165118374,0.04974446337308356,0.0
svg/g/g_140/path_237,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5068924183398261,0.5100389571471381,0.509710391822828,0.55809199318569,0.5084656877434821,0.5339011925042589,0.0031465388073119265,0.04838160136286206,0.0
svg/g/g_139/path_236,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.4863649985016481,0.5116871441414443,0.38262350936967626,0.44020442930153325,0.4990260713215462,0.41141396933560476,0.02532214563979626,0.057580919931857016,0.0
svg/g/g_138/path_235,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.4922085705723704,0.5061432424333233,0.4603066439522998,0.49233390119250425,0.4991759065028469,0.47632027257240206,0.013934671860952935,0.03202725724020445,0.0
svg/g/g_138/path_234,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5071920887024273,0.5218759364698831,0.4603066439522998,0.49199318568994893,0.5145340125861552,0.47614991482112434,0.014683847767455767,0.0316865417376491,0.0
svg/g/g_137/path_233,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.47033263410248716,0.49115972430326627,0.2190800681431005,0.265076660988075,0.4807461792028767,0.24207836456558773,0.0208270902007791,0.04599659284497445,0.0
svg/g/g_136/path_232,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5026970332634101,0.5232244531015882,0.2190800681431005,0.26473594548551954,0.5129607431824991,0.24190800681431004,0.020527419838177987,0.04565587734241905,0.0
svg/g/g_135/path_231,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5016481869943061,0.5161821995804614,0.16695059625212946,0.2010221465076661,0.5089151932873838,0.1839863713798978,0.014534012586155248,0.034071550255536626,0.0
svg/g/g_135/path_230,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5178303865747677,0.5325142343422234,0.16797274275979557,0.2010221465076661,0.5251723104584954,0.18449744463373086,0.014683847767455849,0.033049403747870514,0.0
svg/g/g_134/path_229,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.5692238537608629,0.5840575367096194,0.17785349233390121,0.2122657580919932,0.5766406952352412,0.1950596252129472,0.014833682948756284,0.034412265758091976,0.0
svg/g/g_134/path_228,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.585256218160024,0.5993407252022775,0.17989778534923337,0.21260647359454854,0.5922984716811508,0.19625212947189097,0.014084507042253535,0.032708688245315164,0.0
svg/g/g_133/path_227,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.6003895714713813,0.6194186394965537,0.5836456558773424,0.6262350936967632,0.6099041054839676,0.6049403747870528,0.01902906802517241,0.04258943781942078,0.0
svg/g/g_132/path_226,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.6162721006892417,0.6364998501648186,0.2473594548551959,0.2933560477001703,0.6263859754270301,0.27035775127768313,0.020227749475576956,0.04599659284497445,0.0
svg/g/g_132/path_225,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.6375486964339226,0.6585256218160023,0.2490630323679728,0.2936967632027258,0.6480371591249625,0.2713798977853493,0.02097692538207962,0.044633730834752965,0.0
svg/g/g_131/path_224,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.7791429427629608,0.804165418040156,0.2667802385008518,0.32299829642248723,0.7916541804015583,0.29488926746166955,0.025022475277195144,0.05621805792163539,0.0
svg/g/g_131/path_223,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.8062631105783638,0.8309859154929575,0.2674616695059625,0.3233390119250426,0.8186245130356608,0.29540034071550253,0.024722804914593777,0.05587734241908004,0.0
svg/g/g_131/path_222,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.8323344321246628,0.8569074018579561,0.26643952299829643,0.32299829642248723,0.8446209169913095,0.29471890971039183,0.024572969733293346,0.05655877342419078,0.0
svg/g/g_130/path_221,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.8823793826790529,0.9029068025172309,0.3550255536626917,0.3989778534923339,0.892643092598142,0.3770017035775128,0.020527419838177987,0.043952299829642265,0.0
svg/g/g_130/path_220,0.75,0.7071067811865476,0.24999999999999978,0.06698729810778076,1.0,0.1450980392156863,0.0,0.0,0.0,0.0,0.0,0.8829787234042553,0.9024572969733293,0.30391822827938675,0.3499148211243612,0.8927180101887923,0.32691652470187393,0.019478573569073957,0.04599659284497445,0.0
