tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g_11/g_53/path_32,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.1525349008082292,0.1603232916972814,1.1200989049805725,1.1487107029318264,0.15642909625275533,1.1344048039561996,0.007788390889052188,0.028611797951254056,0.0
svg/g_11/g_52/path_31,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.14342395297575306,0.1504775900073475,0.8710702931826211,0.8989756269869306,0.1469507714915503,0.8850229600847759,0.007053637031594411,0.027905333804309353,0.0
svg/g_11/g_51/path_30,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.1354886113152094,0.13930933137398965,0.6418226774991169,0.6693747792299541,0.13739897134459952,0.6555987283645356,0.003820720058780304,0.027552101730837202,0.0
svg/g_11/g_51/path_29,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.14327700220426154,0.1510653930933137,0.6414694454256447,0.6700812433768987,0.1471711976487876,0.6557753444012717,0.007788390889052147,0.02861179795125396,0.0
svg/g_11/g_50/path_28,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.1354886113152094,0.13930933137398965,0.4192864712115861,0.44683857294242324,0.13739897134459952,0.43306252207700463,0.003820720058780304,0.027552101730837154,0.0
svg/g_11/g_50/path_27,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.14342395297575306,0.1504775900073475,0.41963970328505834,0.44754503708936777,0.1469507714915503,0.433592370187213,0.007053637031594411,0.027905333804309453,0.0
svg/g_11/g_49/path_26,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.1344599559147685,0.14180749448934601,0.19180501589544333,0.22006358177322502,0.1381337252020573,0.20593429883433417,0.0073475385745775095,0.028258565877781732,0.0
svg/g_11/g_49/path_25,0.75,0.7071067811865476,1.0,0.5,0.0,0.5019607843137255,0.0,0.0,0.0,0.0,0.0,0.14327700220426154,0.1510653930933137,0.1910985517484988,0.21971034969975278,0.1471711976487876,0.2054044507241258,0.007788390889052147,0.028611797951253983,0.0
svg/g_11/line_22,0.375,0.7071067811865476,1.0,0.5,0.0,0.0,0.3,0.15,0.0,0.4,0.3,0.1656135194709772,0.16708302718589269,0.20664076298127873,1.114447191805016,0.16634827332843496,0.6605439773931474,0.001469507714915494,0.9078064288237373,0.0
svg/g_11/g_47/g_48/line_21,0.375,0.7071067811865476,1.0,0.5,0.0,0.0,0.3,0.15,0.0,0.4,0.3,0.15576781778104332,0.16664217487141803,0.8848463440480396,0.8883786647827624,0.16120499632623064,0.8866125044154011,0.010874357090374714,0.003532320734722713,0.0
svg/g_11/g_47/g_48/line_20,0.375,0.7071067811865476,1.0,0.5,0.0,0.0,0.3,0.15,0.0,0.4,0.3,0.15576781778104332,0.16664217487141803,0.658777817025786,0.6623101377605087,0.16120499632623064,0.6605439773931474,0.010874357090374714,0.003532320734722713,0.0
svg/g_11/g_47/g_48/line_19,0.375,0.7071067811865476,1.0,0.5,0.0,0.0,0.3,0.15,0.0,0.4,0.3,0.15576781778104332,0.16664217487141803,0.43270929000353237,0.43624161073825507,0.16120499632623064,0.43447545037089375,0.010874357090374714,0.003532320734722713,0.0
svg/g_11/g_47/g_48/line_18,0.375,0.7071067811865476,1.0,0.5,0.0,0.0,0.3,0.15,0.0,0.4,0.3,0.15576781778104332,0.16664217487141803,0.20664076298127873,0.21017308371600144,0.16120499632623064,0.20840692334864008,0.010874357090374714,0.003532320734722713,0.0
svg/g_11/g_46/line_17,0.375,0.7071067811865476,1.0,0.5,0.0,0.0,0.3,0.15,0.0,0.4,0.3,0.16487876561351944,1.1344599559147683,1.1109148710702934,1.114447191805016,0.6496693607641439,1.1126810314376547,0.969581190301249,0.003532320734722713,0.0
svg/g_11/line_16,0.375,0.7071067811865476,1.0,0.5,0.0,0.0,0.3,0.15,0.0,0.4,0.3,0.2196914033798677,0.22116091109478322,1.1109148710702934,1.1409395973154364,0.22042615723732545,1.1259272341928648,0.001469507714915514,0.030024726245143064,0.0
svg/g_11/line_15,0.375,0.7071067811865476,1.0,0.5,0.0,0.0,0.3,0.15,0.0,0.4,0.3,0.2737692872887582,0.2752387950036737,1.1109148710702934,1.1409395973154364,0.27450404114621596,1.1259272341928648,0.001469507714915514,0.030024726245143064,0.0
